class,date,time,topic
k10,05/03/2025,14:00 - 16:00,Giới thiệu về máy tính và hệ điều hành
k10,07/03/2025,14:00 - 16:00,Cấu trúc dữ liệu cơ bản
k10,09/03/2025,14:00 - 16:00,Giới thiệu lập trình Python
k11,06/03/2025,10:00 - 12:00,Nhập môn lập trình hướng đối tượng
k11,08/03/2025,10:00 - 12:00,Thiết kế giao diện với HTML, CSS
k12,07/03/2025,16:00 - 18:00,Cơ sở dữ liệu quan hệ
k12,09/03/2025,16:00 - 18:00,SQL nâng cao
mos-word,10/03/2025,09:00 - 11:00,Định dạng văn bản nâng cao trong Word
mos-excel,12/03/2025,14:00 - 16:00,Hàm và công thức trong Excel
mos-powerpoint,14/03/2025,10:00 - 12:00,Thiết kế bài thuyết trình chuyên nghiệp
